_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,__v,response,theword,block
688593ed57769462deb206cd,3720,instructions,0,3727,0,0,,,
688593ed57769462deb206cf,27414,html-button-response,1,31148,0,0,0,,
688593ed57769462deb206d1,7273,survey-multi-choice,2,38426,0,0,"{""Q0"":""shape""}","In the sentence [this is a square table], a 'square' belongs to a category that is organized by:",practice_category
688593ed57769462deb206d3,5892,survey-multi-choice,4,56196,0,0,"{""Q0"":""material""}",frost,category_organization
688593ed57769462deb206d5,6884,survey-multi-choice,3,48166,0,0,"{""Q0"":""color""}","In the sentence [this is a red table], 'red' belongs to a category that is organized by:",practice_category
688593ed57769462deb206d7,7056,survey-multi-choice,5,63256,0,0,"{""Q0"":""none of these""}",camel,category_organization
688593ed57769462deb206d9,5372,survey-multi-choice,7,73285,0,0,"{""Q0"":""none of these""}",fish (animal),category_organization
688593ed57769462deb206db,6721,survey-multi-choice,8,80008,0,0,"{""Q0"":""none of these""}",cat,category_organization
688593ed57769462deb206dd,7435,survey-multi-choice,9,87446,0,0,"{""Q0"":""material""}",cabbage,category_organization
688593ed57769462deb206df,9881,survey-multi-choice,10,97330,0,0,"{""Q0"":""material""}",fruit,category_organization
688593ed57769462deb206e1,4292,survey-multi-choice,11,101624,0,0,"{""Q0"":""material""}",flag,category_organization
688593ed57769462deb206e3,4653,survey-multi-choice,6,67910,0,0,"{""Q0"":""material""}",bandaid,category_organization
688593ed57769462deb206e5,4877,survey-multi-choice,12,106502,0,0,"{""Q0"":""shape""}",drum,category_organization
688593ed57769462deb206e7,6514,survey-multi-choice,13,113019,0,0,"{""Q0"":""material""}",glue (object),category_organization
688593ed57769462deb206e9,5091,survey-multi-choice,14,118112,0,0,"{""Q0"":""shape""}",cheek,category_organization
688593ed57769462deb206eb,5509,survey-multi-choice,15,123623,0,0,"{""Q0"":""none of these""}",clam,category_organization
688593ed57769462deb206ed,6106,survey-multi-choice,16,129732,0,0,"{""Q0"":""none of these""}",ambulance,category_organization
688593ed57769462deb206ef,4085,survey-multi-choice,18,138321,0,0,"{""Q0"":""none of these""}",bunny,category_organization
688593ed57769462deb206f1,5038,survey-multi-choice,19,143361,0,0,"{""Q0"":""material""}",dumpling,category_organization
688593ed57769462deb206f3,7521,survey-multi-choice,20,150883,0,0,"{""Q0"":""shape""}",armchair,category_organization
688593ed57769462deb206f5,5235,survey-multi-choice,21,156120,0,0,"{""Q0"":""none of these""}",crow,category_organization
688593ed57769462deb206f7,4068,survey-multi-choice,22,160190,0,0,"{""Q0"":""material""}",coffee,category_organization
688593ed57769462deb206f9,4500,survey-multi-choice,17,134233,0,0,"{""Q0"":""shape""}",earth,category_organization
688593ed57769462deb206fb,3541,survey-multi-choice,24,169491,0,0,"{""Q0"":""color""}",lavender,attention_category
688593ed57769462deb206fd,4204,instructions,25,173696,0,0,,,
688593ed57769462deb206ff,5756,survey-multi-choice,23,165949,0,0,"{""Q0"":""shape""}",bat (object),category_organization
6885941d57769462deb20701,3026,instructions,0,3028,0,0,,,
6885941d57769462deb20703,27434,html-button-response,1,30463,0,0,0,,
6885941d57769462deb20705,22355,survey-multi-choice,2,52819,0,0,"{""Q0"":""shape""}","In the sentence [this is a square table], a 'square' belongs to a category that is organized by:",practice_category
6885941d57769462deb20707,6019,survey-multi-choice,3,60969,0,0,"{""Q0"":""color""}","In the sentence [this is a red table], 'red' belongs to a category that is organized by:",practice_category
6885941d57769462deb20709,8449,survey-multi-choice,5,77449,0,0,"{""Q0"":""none of these""}",mustache,category_organization
6885941d57769462deb2070b,6033,survey-multi-choice,6,83482,0,0,"{""Q0"":""material""}",nut,category_organization
6885941d57769462deb2070d,6460,survey-multi-choice,4,68999,0,0,"{""Q0"":""material""}",overalls,category_organization
6885941d57769462deb2070f,3865,survey-multi-choice,7,87348,0,0,"{""Q0"":""material""}",newspaper,category_organization
6885941d57769462deb20711,3084,survey-multi-choice,8,90433,0,0,"{""Q0"":""none of these""}",peanut,category_organization
6885941d57769462deb20713,5381,survey-multi-choice,9,95814,0,0,"{""Q0"":""none of these""}",horse,category_organization
